,k,d,i,j
0,5,2113,0,1
1,5,1550,0,2
2,5,1593,0,3
3,5,1515,0,4
4,5,1623,0,5
5,5,1973,0,6
6,5,1889,0,7
7,5,1505,0,8
8,5,1495,0,9
9,5,1591,0,10
10,5,1588,0,11
11,5,2290,0,12
12,5,1106,0,13
13,5,1570,0,14
14,5,2130,0,15
15,5,1678,0,16
16,5,1822,0,17
17,5,1963,0,18
18,5,2255,0,19
19,5,1917,1,2
20,5,2222,1,3
21,5,1612,1,4
22,5,2078,1,5
23,5,2305,1,6
24,5,2190,1,7
25,5,2047,1,8
26,5,2494,1,9
27,5,1955,1,10
28,5,2023,1,11
29,5,1076,1,12
30,5,2578,1,13
31,5,2041,1,14
32,5,2298,1,15
33,5,2043,1,16
34,5,2192,1,17
35,5,2179,1,18
36,5,2204,1,19
37,5,1189,2,3
38,5,1015,2,4
39,5,821,2,5
40,5,1276,2,6
41,5,1137,2,7
42,5,593,2,8
43,5,2249,2,9
44,5,622,2,10
45,5,727,2,11
46,5,2030,2,12
47,5,2156,2,13
48,5,898,2,14
49,5,1546,2,15
50,5,731,2,16
51,5,1708,2,17
52,5,1280,2,18
53,5,1847,2,19
54,5,1507,3,4
55,5,1147,3,5
56,5,1321,3,6
57,5,1651,3,7
58,5,1197,3,8
59,5,2294,3,9
60,5,1477,3,10
61,5,1029,3,11
62,5,2245,3,12
63,5,1775,3,13
64,5,1391,3,14
65,5,1656,3,15
66,5,1175,3,16
67,5,1793,3,17
68,5,1487,3,18
69,5,2047,3,19
70,5,1098,4,5
71,5,1511,4,6
72,5,1344,4,7
73,5,911,4,8
74,5,2092,4,9
75,5,1034,4,10
76,5,929,4,11
77,5,1636,4,12
78,5,2122,4,13
79,5,1110,4,14
80,5,1706,4,15
81,5,1241,4,16
82,5,1934,4,17
83,5,1442,4,18
84,5,1977,4,19
85,5,1107,5,6
86,5,1233,5,7
87,5,605,5,8
88,5,2231,5,9
89,5,962,5,10
90,5,726,5,11
91,5,2261,5,12
92,5,2088,5,13
93,5,900,5,14
94,5,1457,5,15
95,5,868,5,16
96,5,1700,5,17
97,5,1204,5,18
98,5,1638,5,19
99,5,1543,6,7
100,5,1059,6,8
101,5,2416,6,9
102,5,1403,6,10
103,5,1051,6,11
104,5,2494,6,12
105,5,2327,6,13
106,5,1350,6,14
107,5,1728,6,15
108,5,1418,6,16
109,5,2100,6,17
110,5,1406,6,18
111,5,1983,6,19
112,5,901,7,8
113,5,2329,7,9
114,5,1219,7,10
115,5,1161,7,11
116,5,2291,7,12
117,5,2320,7,13
118,5,1343,7,14
119,5,1372,7,15
120,5,1408,7,16
121,5,2021,7,17
122,5,1217,7,18
123,5,1994,7,19
124,5,2146,8,9
125,5,743,8,10
126,5,565,8,11
127,5,2188,8,12
128,5,2033,8,13
129,5,812,8,14
130,5,1345,8,15
131,5,935,8,16
132,5,1741,8,17
133,5,1031,8,18
134,5,1770,8,19
