,s,t,method,hash,k,cost,factor,portfolio,infos
0,32,41,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,8,64.86763898521991,1.0000524045777397,[a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a128-23-134-12-142-46;a94-93-18-61-124-63-142-46;a94-93-18-61-90-155-30-151-46;a94-93-18-61-124-130-151-46;a94-93-18-61-90-27-101-85-25-105-82],[+3.21%;;+1.77%;;+0.60%;;+0.11%;;+0.04%;;+0.02%;;+0.01%;;+0.01%]
1,32,41,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,8,64.86937534866205,1.000079173772097,[a128-23-55-63-142-46;a128-23-134-12-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a94-93-18-61-124-63-142-46;a94-93-18-61-124-130-151-46;a94-93-18-61-90-155-30-151-46;a128-23-55-63-142-89-105-82],[+3.21% | f=0.552;;+1.95% | f=0.177;;+1.18% | f=0.135;;+0.11% | f=0.127;;+0.04% | f=0.003;;+0.02% | f=0.002;;+0.01% | f=0.002;;+0.01% | f=0.000]
2,32,41,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,8,,,[a128-23-55-63-142-46;a128-23-55-63-142-46;a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a128-23-134-12-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46],[66.948;;70.295;;73.810;;76.487;;78.770;;81.264;;84.495;;86.506]
3,32,41,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,8,,,[a128-23-55-63-142-46;a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a128-23-134-12-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a94-93-18-61-90-155-30-151-46],[66.948;;73.642;;78.433;;82.518;;89.042;;95.553;;99.577;;104.816]
4,32,41,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,8,,,[a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a128-23-134-12-142-46;a94-93-18-61-90-155-30-151-46;a128-73-71-14-12-142-89-105-82;a94-93-18-61-90-27-101-85-25-105-82;a128-23-55-130-151-46],[66.948;;78.061;;84.877;;98.847;;106.041;;118.656;;122.885;;126.315]
5,32,41,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,8,,,[a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a94-93-18-61-90-155-30-151-46;a128-23-134-12-142-89-105-82;a94-93-18-61-90-27-101-85-25-105-82;a128-73-71-14-12-142-46;a94-93-18-122-149-20-101-85-25-105-82],[66.948;;81.776;;92.723;;108.704;;119.960;;129.288;;143.789;;159.321]
6,32,41,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,8,,,[a128-23-55-63-142-46;a128-73-71-14-12-142-46;a94-93-18-61-124-130-151-46;a128-23-55-130-151-89-105-82;a94-93-18-61-90-27-101-85-25-105-82;a128-23-134-12-142-46;a94-93-18-122-149-20-28-30-151-46;a5-147-7-136-108-71-14-12-142-89-105-82],[66.948;;85.491;;101.004;;117.417;;133.840;;137.662;;173.802;;180.523]
7,32,41,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,7,64.87093098244675,1.00010315669072,[a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a128-23-134-12-142-46;a94-93-18-61-124-63-142-46;a94-93-18-61-90-155-30-151-46;a94-93-18-61-124-130-151-46],[+3.21%;;+1.77%;;+0.60%;;+0.11%;;+0.04%;;+0.02%;;+0.01%]
8,32,41,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,7,64.87093098244675,1.00010315669072,[a128-23-55-63-142-46;a128-23-134-12-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a94-93-18-61-124-63-142-46;a94-93-18-61-124-130-151-46;a94-93-18-61-90-155-30-151-46],[+3.21% | f=0.552;;+1.95% | f=0.177;;+1.18% | f=0.135;;+0.11% | f=0.127;;+0.04% | f=0.003;;+0.02% | f=0.002;;+0.01% | f=0.002]
9,32,41,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,7,64.93716171125925,,[a128-23-55-63-142-46;a128-23-55-63-142-46;a128-23-55-63-142-46;a128-73-71-14-12-142-46;a128-23-55-130-151-46;a128-23-134-12-142-46;a128-73-71-14-12-142-46],[66.948;;70.295;;73.810;;76.487;;78.770;;81.264;;84.495]
